Time,A0
1,344
2,345
3,345
4,344
5,345
6,345
7,345
8,345
9,345
10,345
11,345
12,345
13,345
14,344
15,345
16,345
17,345
18,345
19,345
20,345
21,345
22,345
23,345
24,345
25,345
26,345
27,345
28,345
29,345
30,345
31,345
32,345
33,345
34,345
35,345
36,345
37,346
38,345
39,346
40,345
41,345
42,345
43,345
44,345
45,345
46,345
47,345
48,345
49,345
50,345
51,345
52,345
53,345
54,345
55,345
56,345
57,345
58,345
59,345
60,345
61,346
62,345
63,345
64,345
65,345
66,345
67,345
68,345
69,345
70,345
71,345
72,345
73,345
74,345
75,345
76,345
77,345
78,345
79,345
80,345
81,345
82,345
83,345
84,345
85,345
86,345
87,345
88,346
89,345
90,346
91,346
92,346
93,346
94,345
95,346
96,345
97,346
98,346
99,346
100,345
101,346
102,345
103,346
104,346
105,346
106,345
107,346
108,346
109,346
110,346
111,345
112,346
113,346
114,346
115,346
116,346
117,346
118,346
119,346
120,346
121,346
122,346
123,346
124,346
125,346
126,346
127,345
128,346
129,346
130,345
131,346
132,346
133,346
134,346
135,346
136,345
137,346
138,345
139,345
140,345
141,346
142,346
143,346
144,346
145,346
146,346
147,346
148,346
149,346
150,346
151,346
152,345
153,346
154,346
155,345
156,346
157,346
158,346
159,346
160,346
161,346
162,346
163,345
164,346
165,346
166,346
167,346
168,346
169,346
170,345
171,346
172,346
173,345
174,345
175,345
176,346
177,345
178,345
179,346
180,345
181,346
182,345
183,345
184,345
185,345
186,346
187,346
188,346
189,345
190,345
191,345
192,345
193,345
194,345
195,345
196,345
197,345
198,345
199,346
200,346
201,346
202,346
203,345
204,345
205,345
206,345
207,345
208,345
209,346
210,346
211,345
212,345
213,345
214,345
215,345
216,345
217,345
218,345
219,345
220,345
221,345
222,345
223,345
224,346
225,346
226,345
227,345
228,345
229,345
230,346
231,345
232,345
233,345
234,345
235,346
236,345
237,345
238,345
239,345
240,345
241,345
242,345
243,345
244,345
245,345
246,345
247,346
248,346
249,345
250,345
251,346
252,345
253,345
254,345
255,345
256,345
257,345
258,345
259,345
260,346
261,345
262,345
263,345
264,346
265,345
266,345
267,345
268,345
269,345
270,345
271,345
272,345
273,345
274,346
275,345
276,345
277,345
278,346
279,345
280,345
281,345
282,345
283,346
284,345
285,345
286,345
287,345
288,345
289,345
290,345
291,345
292,345
293,345
294,345
295,345
296,345
297,346
298,345
299,345
300,345
301,345
302,346
303,345
304,346
305,345
306,345
307,345
308,345
309,345
310,345
311,345
312,345
313,345
314,346
315,345
316,345
317,346
318,345
319,346
320,346
321,345
322,345
323,345
324,345
325,345
326,346
327,346
328,345
329,346
330,345
331,345
332,346
333,346
334,346
335,346
336,345
337,345
338,345
339,346
340,345
341,345
342,346
343,346
344,345
345,346
346,346
347,346
348,345
349,346
350,346
351,346
352,346
353,346
354,346
355,346
356,346
357,346
358,347
359,346
360,346
361,346
362,346
363,346
364,346
365,346
366,346
367,346
368,346
369,346
370,346
371,346
372,346
373,346
374,346
375,346
376,346
377,346
378,346
379,346
380,346
381,346
382,346
383,346
384,346
385,346
386,346
387,346
388,346
389,346
390,346
391,346
392,346
393,346
394,346
395,346
396,346
397,346
398,346
399,347
400,346
401,346
402,346
403,346
404,345
405,346
406,346
407,345
408,346
409,346
410,345
411,346
412,345
413,346
414,345
415,346
416,345
417,345
418,345
419,345
420,345
421,345
422,345
423,346
424,346
425,345
426,345
427,346
428,345
429,346
430,345
431,345
432,345
433,345
434,345
435,345
436,345
437,346
438,346
439,345
440,346
441,345
442,345
