Time,Width1,Width5,Width10
6825,176,173,177
6844,171,172,176
6863,165,171,174
6882,161,168,172
6900,158,165,170
6920,163,163,168
6938,163,162,167
6957,158,161,165
6975,154,159,163
6994,152,158,161
7013,151,155,159
7031,158,154,158
7051,154,153,157
7069,151,153,156
7088,150,152,155
7106,148,151,153
7126,152,151,153
7144,156,151,152
7162,154,152,152
7182,153,152,153
7200,152,153,152
7219,151,153,152
7237,161,154,153
7257,163,156,154
7275,161,158,155
7293,161,159,156
7312,160,160,157
7331,165,161,158
7350,173,164,160
7368,175,166,162
7388,172,168,164
7406,170,171,165
7425,171,172,166
7443,178,173,168
7462,184,175,171
7481,184,177,173
7499,180,179,175
7519,177,180,176
7537,182,181,177
7556,187,182,178
7574,190,183,180
7593,188,185,182
7612,182,186,182
7630,180,185,183
7650,185,185,183
7668,188,184,184
7687,191,185,185
7705,184,185,185
7725,178,184,184
7743,178,183,183
7761,181,182,183
7781,183,181,183
7799,180,180,183
7818,174,179,181
7836,169,177,179
7856,168,175,178
7874,173,172,177
7892,173,171,176
7911,167,170,175
7930,162,169,172
7949,158,166,170
7967,158,163,168
7987,164,162,166
8005,160,161,165
8024,155,159,164
8042,152,158,162
8061,150,156,159
8080,153,154,158
8098,156,153,157
8118,153,153,156
8136,151,152,155
8155,149,152,154
8173,148,150,153
8193,155,151,152
8211,156,152,152
8229,154,152,152
8249,153,153,153
8267,153,154,152
8286,156,154,152
8304,164,156,154
8324,164,158,155
