Time,Width1,Width5,Width10
100,152,146,140
117,146,148,142
136,145,148,143
153,153,149,145
171,147,148,146
188,145,147,146
206,153,148,148
224,147,149,148
241,146,147,148
260,153,148,148
277,147,149,148
294,145,147,147
312,153,148,148
330,148,149,148
348,146,147,148
365,154,148,148
382,148,149,148
401,146,148,148
418,154,148,148
436,148,149,148
453,146,148,148
472,153,148,148
489,148,149,148
506,146,148,148
525,153,148,148
542,147,149,148
560,145,148,147
577,153,148,148
595,147,149,148
613,146,148,147
630,153,148,148
648,147,149,148
666,145,147,147
684,153,148,148
701,147,149,148
718,145,147,147
737,153,148,148
754,147,148,148
772,145,147,147
789,153,148,148
807,147,149,148
825,145,147,147
842,152,148,148
861,147,148,148
878,145,147,147
896,152,148,148
913,147,149,148
931,145,147,147
949,153,148,148
966,147,148,148
984,146,147,147
1002,153,148,148
1020,149,148,148
1039,145,147,147
1058,142,146,147
1077,149,147,148
1095,154,148,148
1114,152,149,148
1133,148,149,148
1152,144,149,147
1170,145,149,148
1188,151,148,148
1208,157,149,149
1226,151,149,149
1245,147,150,149
1264,144,149,148
1283,147,148,148
1301,153,148,149
1319,154,149,149
1339,149,149,150
1357,146,149,149
1376,144,149,148
1395,150,148,148
1414,155,149,149
1432,152,149,149
1451,148,150,150
1470,145,150,149
1488,145,149,148
1507,151,148,148
1526,156,149,149
1545,151,149,149
1563,147,150,149
1582,144,149,148
1601,146,148,148
1619,152,148,149
1638,153,148,149
1657,149,149,149
1676,145,149,149
1694,142,148,148
1713,148,147,148
1732,154,148,148
1751,151,149,149
1769,147,149,149
1787,144,149,148
1807,144,148,147
1825,151,147,147
1844,156,148,148
1863,150,148,148
1882,146,148,148
1900,143,148,147
1918,146,147,147
1938,152,147,148
1956,153,147,148
1975,148,148,148
1994,145,148,148
2013,142,147,147
2031,149,147,147
2050,154,148,148
2069,152,148,148
2087,147,149,148
2106,144,149,148
2125,145,148,147
2144,151,148,148
2162,156,149,148
2181,150,149,149
2200,146,149,148
2219,144,149,148
2237,147,148,148
2256,153,148,148
2275,154,149,149
2293,149,149,149
2312,146,150,149
2331,143,149,148
2350,150,148,148
2368,155,149,149
2386,152,149,149
2406,148,150,149
2424,145,150,149
2443,145,149,148
2462,152,148,148
2481,157,149,149
2499,151,149,149
2518,147,150,149
2537,144,149,148
2555,147,148,148
2574,153,148,149
2593,154,149,149
2612,149,149,150
2630,146,149,149
2649,142,148,148
2668,149,147,148
2686,154,148,149
2705,152,149,149
2724,148,149,149
2743,144,149,148
2761,144,148,147
2780,150,147,148
2799,155,148,148
2818,150,148,148
2836,146,148,148
2855,143,148,147
2874,146,147,147
2892,152,147,148
2911,153,147,148
2930,148,148,148
2949,145,148,148
2967,142,147,147
2985,148,147,147
3005,153,148,148
3023,151,148,148
3042,148,149,149
3061,144,149,148
3080,144,148,147
3098,151,147,147
3117,156,148,148
3136,150,148,148
3154,146,149,148
3173,144,148,148
3192,147,147,147
3211,153,148,148
3229,154,148,149
3248,149,149,149
3267,146,149,149
3286,144,149,148
3304,150,148,148
3323,155,149,149
3342,153,149,149
3360,148,150,149
3379,145,150,149
3398,145,149,148
3417,152,148,148
3435,157,149,149
3454,151,149,149
3473,147,150,149
3491,145,149,148
3510,147,149,148
3529,153,149,149
3548,154,149,149
3566,150,149,150
3585,146,150,149
3604,143,149,148
3622,149,148,148
3641,155,149,149
3660,152,149,149
3679,148,150,149
3697,144,149,149
3716,144,149,148
3735,151,148,148
3753,156,148,149
3772,150,149,149
3791,146,149,149
3810,143,148,148
3828,146,147,147
3847,152,147,148
3866,153,148,148
3885,148,148,149
3903,145,148,148
3922,142,148,147
3941,148,147,147
3959,154,148,148
3978,151,149,148
3997,147,149,149
4016,144,149,148
4034,144,148,147
4054,150,147,147
4072,156,148,148
4090,150,148,148
4109,146,149,148
4128,144,148,147
4147,146,147,147
4165,152,147,148
4184,153,148,148
4203,149,148,149
4221,146,149,148
4240,144,148,148
4259,149,147,148
4278,154,148,148
4296,152,149,149
4315,148,149,149
4334,145,149,148
4353,145,149,148
4371,151,148,148
4390,156,149,149
4409,151,149,149
4427,147,150,149
4446,145,149,148
4465,148,148,148
4484,153,148,149
4502,154,149,149
4521,150,149,150
4540,146,150,149
4558,143,149,148
4577,149,148,149
4596,155,149,149
4615,152,149,150
4633,148,150,150
4653,145,149,149
4671,144,149,148
4689,151,148,148
4708,156,149,149
4727,150,149,149
4746,146,150,149
4764,144,149,148
4783,146,148,148
4802,152,148,148
4820,153,148,149
4839,148,148,149
4858,145,148,148
4877,142,148,148
4895,148,147,148
4914,153,148,148
4933,151,148,148
4952,147,149,149
4970,144,148,148
4989,144,148,147
5008,151,147,147
5026,156,148,148
5045,150,148,148
5064,146,148,148
5083,143,148,147
5101,146,147,147
5121,152,147,148
5139,153,148,148
5157,148,148,148
5176,145,149,148
5195,142,148,147
5214,148,147,147
5232,154,148,148
5252,151,149,148
5270,148,149,149
5288,144,149,148
5307,144,148,147
5326,150,147,148
5345,157,148,148
5363,150,149,149
5382,147,149,149
5401,144,149,148
5420,147,148,148
5438,153,148,149
5457,154,149,149
5476,149,149,150
5494,146,149,149
5513,143,149,148
5532,149,148,148
5551,155,149,149
5569,152,149,149
5588,148,150,150
5607,145,149,149
5625,145,149,148
5644,151,148,148
5663,156,149,149
5682,151,149,149
5700,147,150,149
5720,144,149,148
5738,147,148,148
5756,153,148,149
5775,154,148,149
5794,148,149,149
5813,145,149,149
5831,142,148,148
5851,149,147,148
5869,153,148,148
5888,151,149,149
5906,147,149,149
5925,144,149,148
5944,144,148,147
5962,150,147,147
5981,155,148,148
6000,149,148,148
6019,146,149,148
6037,144,148,147
6056,146,147,147
6075,151,147,148
6093,153,147,148
6112,148,148,149
6131,145,148,148
6150,142,147,147
6168,148,147,147
6188,153,148,148
6206,151,148,148
6224,148,149,149
6243,144,148,148
6262,144,148,147
6281,151,147,147
6299,156,148,148
6319,150,148,148
6337,147,149,148
6355,144,148,148
6374,146,148,147
6393,153,148,148
6412,154,148,149
6430,149,149,149
6450,146,149,149
6468,143,148,148
6487,149,148,148
6505,154,149,149
6524,152,149,150
6543,148,150,150
6561,145,149,149
6580,144,149,148
6599,151,148,148
6618,157,149,149
6636,151,149,149
6656,148,149,149
6674,144,149,148
6692,147,148,148
6711,153,148,149
6730,154,148,149
6749,149,149,149
6767,145,149,149
6787,142,148,148
6805,149,148,148
6823,154,148,149
6842,151,149,149
6861,147,149,149
6880,144,149,148
6898,144,148,147
6918,150,147,148
6936,155,148,148
6955,149,148,149
6973,146,148,148
6992,143,148,147
7011,146,147,147
7029,152,147,148
7049,153,147,148
7067,148,148,149
7086,145,148,148
7104,142,147,147
7123,148,147,147
7142,153,147,148
7160,151,148,148
7179,147,148,149
7198,144,148,148
7217,143,148,147
7235,150,147,147
7255,155,148,148
7273,150,148,148
7291,146,149,148
7310,144,148,147
7329,147,147,147
7348,152,147,148
7366,153,148,148
7386,149,148,148
7404,145,149,148
7422,143,148,147
7441,149,148,148
7460,154,149,148
7479,152,149,149
7497,148,150,149
7517,145,150,148
7535,144,149,148
7554,151,148,148
7572,156,149,149
7591,151,149,149
7610,147,150,149
7628,144,149,148
7648,147,148,148
7666,153,148,149
7685,154,149,149
7703,150,149,150
7723,146,149,149
7741,143,148,148
7759,149,148,148
7778,154,149,149
7797,151,149,149
7816,148,149,149
7834,145,149,149
7854,144,149,148
7872,151,148,148
7890,156,148,148
7909,150,149,149
7928,146,149,148
7947,144,148,148
7965,146,147,147
7985,152,147,148
8003,153,148,148
8022,148,148,148
8040,145,148,148
8059,142,147,147
8078,148,147,147
8096,153,148,148
8116,151,148,148
8134,147,148,148
8153,144,149,147
8171,143,148,147
8190,150,147,147
8209,155,148,148
8227,149,148,148
8247,146,149,148
8265,144,148,147
8284,146,147,147
8302,151,147,148
8322,153,148,148
8340,149,148,148
8358,145,149,148
8377,142,148,147
8396,149,148,147
8415,154,148,148
8433,152,149,148
8453,148,149,149
8471,144,149,148
8489,145,148,147
8508,151,148,148
8527,156,149,148
8546,150,149,149
8564,147,150,149
8584,144,149,148
8602,147,148,148
8621,152,148,148
8639,154,149,149
8658,149,149,149
8677,146,149,149
8695,142,148,148
8715,149,148,148
8733,154,149,149
8752,153,149,149
8770,148,150,149
8790,145,149,149
8808,145,149,148
8826,152,148,148
8846,156,149,149
8864,151,149,149
8883,147,149,149
8901,144,148,148
8921,146,148,148
8939,153,148,148
8957,153,148,149
8976,149,148,149
8995,145,149,148
9014,142,148,148
9032,148,147,148
9052,153,148,148
9070,151,148,149
9089,147,148,149
9107,144,148,148
9126,144,147,147
9145,150,147,147
