Time,Width1,Width5,Width10
6731,163,172,174
6750,169,171,173
6768,171,169,173
6788,169,168,172
6806,162,167,171
6824,158,165,169
6843,152,162,166
6862,158,160,165
6881,162,159,164
6899,155,157,162
6919,150,155,160
6937,146,153,158
6956,143,151,155
6974,150,149,154
6993,148,148,152
7012,144,147,151
7030,141,146,149
7050,139,144,147
7068,140,142,146
7087,147,142,145
7105,144,142,144
7124,142,142,144
7143,140,142,143
7161,139,141,142
7180,145,141,142
7199,149,143,143
7218,148,144,143
7236,147,145,144
7256,146,146,144
7274,147,147,145
7292,157,149,146
7311,160,151,148
7330,158,154,150
7349,156,156,151
7367,155,157,152
7387,163,158,154
7405,169,160,156
7424,171,163,159
7442,168,165,161
7461,166,167,162
7480,168,168,163
7498,174,169,165
7518,178,171,167
7536,178,173,169
7555,174,175,171
7573,170,175,171
7592,176,175,172
7611,179,175,173
7629,182,176,175
7649,178,177,176
7667,173,177,176
7686,171,176,175
7704,174,175,175
7724,178,175,176
7742,178,175,176
7760,171,174,175
7779,165,173,174
7798,164,171,172
7817,168,169,172
7835,170,168,171
7855,165,167,170
7873,159,165,169
7891,155,163,166
7910,154,160,164
7929,158,158,163
7948,157,156,161
7966,152,155,160
7986,147,154,158
8004,144,151,155
8023,144,149,153
8041,151,147,152
8060,145,146,150
8079,142,145,149
8097,140,144,148
8117,138,142,145
8135,143,142,145
8154,145,141,144
8172,143,141,143
8192,141,142,143
8210,141,142,142
8228,139,141,142
8248,148,143,142
8266,149,144,143
8285,148,146,144
8303,148,147,144
8323,147,148,144
8341,152,149,146
8359,160,151,148
8379,161,154,149
8397,159,156,151
8416,157,158,152
8434,159,159,154
8454,166,160,156
8472,172,163,158
8491,171,166,160
8509,168,168,162
8528,166,168,163
8547,172,169,165
8565,176,170,167
8585,181,172,169
8603,177,174,171
8622,173,175,171
8640,172,176,172
8659,177,176,173
8678,180,176,174
8696,183,176,175
8716,176,177,176
8734,171,176,176
8753,172,175,175
8771,175,174,175
8791,177,174,176
8809,174,173,176
8827,168,173,175
8847,162,171,173
8865,164,169,172
8884,168,167,171
8902,169,166,170
8922,162,164,169
8940,157,163,167
8958,152,160,165
8977,154,158,163
8996,158,156,161
9015,154,155,160
9033,149,153,158
9053,145,152,156
9071,143,149,153
9090,146,147,152
9108,148,145,150
9127,144,144,149
9146,141,143,148
9164,140,143,146
9184,138,141,144
9202,145,141,144
9221,144,141,143
9239,143,142,143
9259,142,142,143
9277,141,142,142
9295,144,142,142
9315,152,144,143
9333,151,145,143
9352,149,147,144
9370,149,148,145
9390,147,149,146
9408,157,150,147
9426,164,153,149
9446,161,155,151
9464,160,157,153
9483,158,159,154
9501,163,160,156
9521,170,162,158
9539,175,165,160
9558,171,167,163
9576,168,169,164
9595,167,170,165
9614,174,171,167
9632,179,172,169
9652,183,174,171
9670,176,176,172
9689,172,176,173
9707,174,176,173
9726,178,175,174
9745,181,176,175
9763,180,176,176
9783,173,177,176
9801,168,176,176
9820,172,175,175
9838,175,173,175
9858,178,173,175
9876,171,173,175
9894,165,172,173
9914,160,169,172
9932,164,167,170
9951,166,166,170
9969,164,164,169
9989,158,163,167
10007,154,161,165
10027,157,159,162
10047,155,157,161
10066,147,154,159
10086,150,152,157
10105,151,152,156
10126,142,149,153
10145,145,147,151
10165,148,147,149
10185,139,145,148
10205,141,142,147
10224,145,142,145
10245,138,141,144
10264,141,140,143
10284,144,141,143
10303,141,142,142
10323,142,141,142
10343,147,143,142
10362,148,145,143
10383,145,145,143
10402,151,146,144
10422,155,149,146
10441,150,150,146
10462,156,151,148
10481,163,155,150
10501,154,156,151
10521,161,157,153
10541,170,161,155
10560,164,163,157
10580,166,163,159
10600,176,167,161
10619,170,169,163
