Time,Width1,Width5,Width10
6767,149,152,152
6787,145,151,152
6805,152,151,151
6823,157,151,152
6842,154,152,152
6861,150,152,152
6880,146,152,151
6898,146,151,150
6918,152,150,150
6936,157,150,151
6955,152,150,151
6973,148,151,150
6992,145,150,149
7011,147,149,149
7029,154,149,150
7049,154,150,150
7067,150,150,150
7086,146,150,150
7104,144,149,149
7123,150,149,149
7142,155,149,149
7160,153,150,150
7179,149,150,150
7198,146,150,149
7217,145,149,148
7235,152,149,149
7255,158,149,150
7273,152,150,150
7291,149,150,150
7310,146,150,149
7329,149,149,149
7348,154,149,150
7366,157,150,151
7386,152,151,151
7404,149,152,151
7422,146,151,150
7441,152,151,150
7460,158,152,151
7479,156,152,152
7497,151,153,152
7517,149,152,152
7535,149,152,151
7554,155,151,152
7572,160,152,152
7591,155,153,153
7610,151,154,153
7628,147,153,152
7648,151,152,152
7666,157,152,152
7685,158,152,153
7703,153,153,153
7723,149,153,153
7741,146,152,152
7759,152,151,152
7778,158,152,153
7797,155,152,153
7816,151,153,153
7834,147,152,152
7854,147,151,151
7872,153,151,152
7890,159,151,152
7909,152,151,152
7928,148,151,152
7947,145,150,151
7965,149,149,150
7985,154,149,151
8003,155,150,151
8022,150,150,151
8040,147,150,150
8059,144,149,149
8078,150,149,149
8096,155,149,150
8116,152,150,150
8134,148,150,150
8153,145,150,149
8171,145,149,148
8190,152,148,149
8209,157,149,149
8227,151,149,150
8247,148,150,149
8265,145,149,149
8284,148,149,148
8302,154,149,149
8322,155,149,150
8340,150,150,150
8358,147,150,150
8377,145,150,149
8396,151,149,149
8415,157,150,150
8433,155,151,151
8453,150,152,151
8471,148,152,151
8489,148,151,150
8508,154,151,151
8527,159,152,151
8546,154,152,152
8564,150,153,152
8584,148,152,151
8602,150,151,151
8621,157,151,152
8639,158,152,152
8658,153,153,153
8677,149,153,152
8695,146,152,152
8715,153,152,152
8733,158,152,153
8752,156,153,153
8770,152,153,153
8790,148,153,152
8808,148,152,152
8826,154,151,152
8846,159,152,152
8864,154,152,153
8883,150,152,153
8901,146,151,152
8921,149,150,151
8939,155,150,152
8957,155,151,152
8976,151,151,152
8995,147,151,151
9014,144,150,150
9032,150,149,150
9052,156,150,151
9070,153,150,151
9089,148,151,151
9107,145,150,150
9126,144,149,149
9145,152,149,149
