Time,A0,PotValue
491,1021,255
492,1021,255
493,1021,255
494,1021,255
495,1021,255
496,1022,255
497,1021,255
498,1021,255
499,1021,255
500,1021,255
501,1021,255
502,1022,255
503,1021,255
504,1021,255
505,1021,255
506,1022,255
507,1021,255
508,1021,255
509,1022,255
510,1022,255
511,1022,255
512,1021,255
513,1021,255
514,1022,255
515,1021,255
516,1021,255
517,1021,255
518,1022,255
519,1021,255
520,1021,255
521,1021,255
522,1021,255
523,1021,255
524,1021,255
525,1022,255
526,1021,255
527,1022,255
528,1021,255
529,1021,255
530,1021,255
531,1021,255
532,1021,255
533,1022,255
534,1021,255
535,1021,255
536,1021,255
537,1022,255
538,1021,255
539,1022,255
540,1021,255
541,1022,255
542,1022,255
543,1022,255
544,1022,255
545,1021,255
546,1021,255
547,1022,255
548,1021,255
549,1022,255
550,1021,255
551,1021,255
552,1022,255
553,1021,255
554,1021,255
555,1021,255
556,1021,255
557,1022,255
558,1022,255
559,1021,255
560,1021,255
561,1021,255
562,1021,255
563,1022,255
564,1021,255
565,1022,255
566,1022,255
567,1022,255
568,1022,255
569,1022,255
570,1021,255
571,1022,255
572,1021,255
573,1021,255
574,1022,255
575,1021,255
576,1021,255
577,1021,255
578,1021,255
579,1021,255
580,1021,255
581,1021,255
582,1021,255
583,1021,255
584,1022,255
585,1021,255
586,1021,255
587,1022,255
588,1021,255
589,1021,255
590,1022,255
591,1021,255
592,1021,255
593,1021,255
594,1021,255
595,1022,255
596,1021,255
597,1022,255
598,1021,255
599,1022,255
600,1021,255
601,1021,255
602,1021,255
603,1021,255
604,1022,255
605,1022,255
606,1022,255
607,1022,255
608,1022,255
609,1022,255
610,1022,255
611,1021,255
612,1022,255
613,1022,255
614,1021,255
615,1021,255
616,1022,255
617,1021,255
618,1022,255
619,1021,255
620,1021,255
621,1021,255
622,1022,255
623,1022,255
624,1021,255
625,1021,255
626,1022,255
627,1022,255
628,1022,255
629,1022,255
630,1021,255
631,1022,255
632,1022,255
633,1022,255
634,1021,255
635,1021,255
636,1021,255
